name,,,,,
,,,,,肾阳虚水泛证
,,,,,肾阳虚证
,,,,,肾阴虚火旺证
,,,,,肾阴虚证
,,,,,肾阴阳两虚证
,,,,,胃寒证
,,,,,胃气上逆证
,,,,,胃气虚证
,,,,,胃火上逆证
,,,,,胃热症
,,,,,胃热证
,,,,,胃阳不足饮停证
,,,,,胃阳虚
,,,,,胃阴虚证
,,,,,胆腑郁热证
,,,,,胆郁痰扰证
,,,,,胞宫虚寒证
,,,,,脱证
,,,,,脾不统血证
,,,,,脾气下陷证
,,,,,脾气虚证
,,,,,脾肺气虚证
,,,,,脾肾阳虚证
,,,,,脾胃气虚证
,,,,,脾胃湿热证
,,,,,脾胃虚寒证
,,,,,脾胃虚弱证
,,,,,脾胃阳虚证
,,,,,脾胃阴虚证
,,,,,脾虚气滞证
,,,,,脾虚气陷证
,,,,,脾虚湿困证
,,,,,脾虚湿热证
,,,,,脾虚痰湿证
,,,,,脾虚痰盛证
,,,,,脾虚证
,,,,,脾虚食积证
,,,,,脾阳虚证
,,,,,脾阴虚证
,,,,,膀胱湿热证
,,,,,膀胱虚寒证
,,,,,营分证
,,,,,虚寒痢
,,,,,虚寒证
,,,,,虚热证
,,,,,虚证
,,,,,虫积肠道证
,,,,,血分证
,,,,,血寒证
,,,,,血热动风证
,,,,,血热证
,,,,,血瘀气滞证
,,,,,血瘀耳窍证
,,,,,血瘀证
,,,,,血脱证
,,,,,血虚动风证
,,,,,血虚寒凝证
,,,,,血虚津亏证
,,,,,血虚生风证
,,,,,血虚证
,,,,,血虚风燥证
,,,,,血轮虚热证
,,,,,表证
,,,,,邪伏膜原证
,,,,,邪壅经络证
,,,,,邪热郁蒸证
,,,,,邪犯胸肺证
,,,,,邪留阴分证
,,,,,里证
,,,,,阳损及阴证
,,,,,阳明热盛证
,,,,,阳明经证
,,,,,阳明腑证
,,,,,阳明证
,,,,,阳虚外感证
,,,,,阳虚寒凝证
,,,,,阳虚水泛证
,,,,,阳虚痰凝证
,,,,,阳虚血瘀证
,,,,,阳虚证
,,,,,阳虚饮停证
,,,,,阳闭证
,,,,,阴损及阳证
,,,,,阴竭阳脱证
,,,,,阴虚内热证
,,,,,阴虚动血证
,,,,,阴虚动风证
,,,,,阴虚外感证
,,,,,阴虚津亏证
,,,,,阴虚湿热证
,,,,,阴虚火旺证
,,,,,阴虚痢
,,,,,阴虚肺热证
,,,,,阴虚肺燥证
,,,,,阴虚血热证
,,,,,阴虚血燥证
,,,,,阴虚证
,,,,,阴虚阳亢证
,,,,,阴虚阳浮证
,,,,,阴血亏虚证
,,,,,阴闭证
,,,,,阴阳两虚证
,,,,,风寒化热证
,,,,,风湿化热证
,,,,,风湿蕴肤证
,,,,,风火热毒证
,,,,,风热犯肺证
,,,,,风热痰毒证
,,,,,风热袭表证
,,,,,风燥伤肺证
,,,,,风痰证
,,,,,风证
,,,,,风阳上扰证
,,,,,风阳内动证
,,,,,食滞痰阻证
,,,,,饮停胸胁证
,,,,,饮留胃肠证
,,,,,饮证
,,,,,髓亏证
,,,,,心胆气虚证
,,,,,瘴疟
,,,,,热耗真阴症
,,,,,燥症
,,,,,痰症
,,,,,肠道湿热症
,,,,,肺气虚症
,,,,,胃热症
,,,,,虚寒症
,,,,,虚症
,,,,,血虚症
,,,,,阳明经症
,,,,,风症
,,,,,血淋病
,,,,,血热病
,,,,,阳明病
,,,,,风病
,,,,,上热下寒
,,,,,上焦
,,,,,下焦
,,,,,下焦湿热
,,,,,下焦病
,,,,,中焦
,,,,,亡阳
,,,,,亡阴
,,,,,冲任不固
,,,,,凉燥
,,,,,劳淋
,,,,,半表半里
,,,,,卫分
,,,,,卫气同病
,,,,,卫气虚
,,,,,厥阴
,,,,,厥阴病
,,,,,外邪犯胃
,,,,,大结胸
,,,,,大肠湿热
,,,,,大肠虚寒
,,,,,太阳中风
,,,,,太阳伤寒
,,,,,太阴虚寒
,,,,,失神
,,,,,宿食积滞
,,,,,寒凝
,,,,,寒实结胸
,,,,,寒湿
,,,,,寒湿困脾
,,,,,寒滞肝脉
,,,,,寒热错杂
,,,,,寒疟
,,,,,寒痰
,,,,,小结胸
,,,,,小肠实热
,,,,,小肠虚寒
,,,,,少阳
,,,,,少阴
,,,,,少阴寒化
,,,,,少阴热化
,,,,,少阴阳虚水泛
,,,,,心气虚
,,,,,心火亢盛
,,,,,心肝火旺
,,,,,心肝血虚
,,,,,心肺气虚
,,,,,心肾不交
,,,,,心脾两虚
,,,,,心血瘀阻
,,,,,心血虚
,,,,,心阳不振
,,,,,心阳虚
,,,,,心阴虚
,,,,,惊恐伤肾
,,,,,暑热
,,,,,正疟
,,,,,气不摄血
,,,,,气滞
,,,,,气滞湿阻证
,,,,,气滞血瘀
,,,,,气滞血瘀证
,,,,,气脱
,,,,,气营两燔
,,,,,气虚
,,,,,气虚血瘀
,,,,,气虚阳微
,,,,,气血两虚
,,,,,气逆
,,,,,气郁化火
,,,,,气闭
,,,,,气阴两虚
,,,,,气陷
,,,,,气随血脱
,,,,,水寒射肺
,,,,,水气凌心
,,,,,水饮内停
,,,,,津亏
,,,,,津亏热结
,,,,,津液亏损
,,,,,津液亏虚
,,,,,清阳不升
,,,,,温燥
,,,,,湿热
,,,,,湿热下注
,,,,,湿热内蕴
,,,,,湿热蕴脾
,,,,,湿痰
,,,,,湿郁热伏
,,,,,湿阻气分
,,,,,火热
,,,,,热入血分
,,,,,热入血室
,,,,,热厥
,,,,,热极生风
,,,,,热痰
,,,,,热结肠胃
,,,,,燥痰
,,,,,燥邪犯肺
,,,,,疫毒痢
,,,,,痰
,,,,,痰浊头痛
,,,,,痰浊阻肺
,,,,,痰火扰心
,,,,,痰迷心窍
,,,,,痰饮内阻
,,,,,瘀血内结
,,,,,瘀血阻络
,,,,,相火妄动
,,,,,真寒假热
,,,,,真热假寒
,,,,,石淋
,,,,,精脱
,,,,,肝气犯胃
,,,,,肝气郁结
,,,,,肝火上炎
,,,,,肝火旺盛
,,,,,肝火犯肺
,,,,,肝经湿热
,,,,,肝肾两虚
,,,,,肝肾阴虚
,,,,,肝胃不和
,,,,,肝胃郁热
,,,,,肝胆湿热
,,,,,肝血虚
,,,,,肝郁化火
,,,,,肝郁气滞
,,,,,肝阳上亢
,,,,,肝阳虚
,,,,,肝阴虚
,,,,,肝风内动
,,,,,肺气虚
,,,,,肺肾气虚
,,,,,肺肾阴虚
,,,,,肺脾两虚
,,,,,肺阴虚
,,,,,肾不纳气
,,,,,肾气不固
,,,,,肾气虚
,,,,,肾精不足
,,,,,肾虚
,,,,,肾虚水泛
,,,,,肾阳不足
,,,,,肾阳虚
,,,,,肾阴虚
,,,,,肾阴虚火旺证
,,,,,肾阴阳两虚
,,,,,胃寒
,,,,,胃气上逆
,,,,,胃气虚
,,,,,胃热
,,,,,胃热症
,,,,,胃阳虚
,,,,,胃阴虚
,,,,,胆热
,,,,,胆郁痰扰
,,,,,胎寒
,,,,,胎热
,,,,,脏结
,,,,,脱血
,,,,,脾不统血
,,,,,脾气下陷
,,,,,脾气不升
,,,,,脾气虚
,,,,,脾约
,,,,,脾肾阳虚
,,,,,脾胃气虚
,,,,,脾胃湿热
,,,,,脾胃虚寒
,,,,,脾胃虚弱
,,,,,脾胃阴虚
,,,,,脾虚
,,,,,脾虚气滞
,,,,,脾虚湿困证
,,,,,脾阳虚
,,,,,脾阴虚
,,,,,膀胱湿热
,,,,,膀胱虚寒
,,,,,膏淋
,,,,,营分
,,,,,虚寒
,,,,,虚热
,,,,,血分
,,,,,血寒
,,,,,血淋
,,,,,血热
,,,,,血瘀
,,,,,血脱
,,,,,血虚
,,,,,血虚生风
,,,,,血虚风燥
,,,,,逆传心包
,,,,,阳损及阴
,,,,,阳明
,,,,,阳明腑实
,,,,,阳虚
,,,,,阳虚水泛
,,,,,阴损及阳
,,,,,阴竭阳脱
,,,,,阴虚
,,,,,阴虚内热
,,,,,阴虚动风
,,,,,阴虚火旺
,,,,,阴虚阳亢
,,,,,阴虚阳浮
,,,,,阴虚风动
,,,,,阴闭
,,,,,阴阳两虚
,,,,,风寒入里化热
,,,,,风寒湿痹
,,,,,风寒犯肺
,,,,,风湿热痹
,,,,,风热
,,,,,风痰
,,,,,风轮湿热
,,,,,食滞胃脘
,,,,,饮食停滞
,,,,,饮食积滞
